Dataset,Features,Model,BalAcc,Sens,Spec,f1,AUC,Acc,Prec,Classifier,Hyperparams
Single-Model,All Features,SVM,0.83,0.82,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.82,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.82,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 0.7, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.82,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 0.7, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.82,0.84,0.58,0.91,0.84,0.45,SVC,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.82,0.84,0.58,0.91,0.84,0.45,SVC,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.81,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 0.3, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.81,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 0.3, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.81,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 1500, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
Single-Model,All Features,SVM,0.83,0.81,0.84,0.57,0.91,0.84,0.44,SVC,"{'C': 1500, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear', 'probability': True, 'random_state': 42}"
